polygon_id,polygon_name,point_id,point_name,point_wikidata_id
7958145,Macroregiunea Unu,460204161,Daia,Q714305
7958145,Macroregiunea Unu,463186232,Brâglez,Q1327519
7958145,Macroregiunea Unu,422870052,Valea Ciuciului,Q12087662
7958145,Macroregiunea Unu,454152246,Brusturi,Q12085068
7958145,Macroregiunea Unu,463184807,Peceiu,Q730041
7958145,Macroregiunea Unu,463185297,Fabrica,Q385988
7958145,Macroregiunea Unu,422868217,Mănărade,Q756974
13137186,Tigveni,422881522,Bârseștii de Jos,Q12082652
7958145,Macroregiunea Unu,454156854,Mierag,Q755346
7958145,Macroregiunea Unu,460371532,Strucut,Q7255364
7958145,Macroregiunea Unu,258911395,Bichigiu,Q852122
7958145,Macroregiunea Unu,422868233,Dealu Bistrii,Q12103056
7958145,Macroregiunea Unu,447920790,Tureac,Q1325453
7958145,Macroregiunea Unu,26864275,Pietrosul Călimani,Q517345
11319221,Sichevița,461603099,Lucacevăț,Q554389
7958145,Macroregiunea Unu,454152053,Păntășești,Q587575
7958145,Macroregiunea Unu,463185150,Stoboru,Q723980
7958145,Macroregiunea Unu,460370049,Corușu,Q724589
7958145,Macroregiunea Unu,422871113,Dealu Frumos,Q11222749
7958145,Macroregiunea Unu,460106791,Purcăreni,Q740551
7958145,Macroregiunea Unu,461608458,Icafalău,Q713631
7958145,Macroregiunea Unu,462245287,Unguraș,Q724634
7958145,Macroregiunea Unu,460203441,Cotormani,Q653759
7958145,Macroregiunea Unu,422869596,Doștat,Q1019308
7958145,Macroregiunea Unu,460372493,Sălișca,Q3888472
7958145,Macroregiunea Unu,460105440,Ohaba,Q1223447
7958145,Macroregiunea Unu,1708455307,Suplac,Q1087578
7958145,Macroregiunea Unu,460373939,Iclod,Q1076054
7958145,Macroregiunea Unu,460203075,Șoimeni,Q337832
7958145,Macroregiunea Unu,447918550,Matei,Q1077438
7958145,Macroregiunea Unu,454151080,Sânnicolau Român,Q1194324
7958145,Macroregiunea Unu,454150009,Valea Crișului,Q1214848
7958145,Macroregiunea Unu,422870611,Tărtăria,Q3642086
7958145,Macroregiunea Unu,422868416,Dealu Roatei,Q12103088
7958145,Macroregiunea Unu,462245710,Teceu Mic,Q1112356
7958145,Macroregiunea Unu,1563713053,Reghin,Q572478
7958145,Macroregiunea Unu,262782098,Sânmartin,Q876091
7958145,Macroregiunea Unu,262780790,Băile Tușnad,Q837968
7958145,Macroregiunea Unu,460203715,Valea Gârbea,Q1031571
7958145,Macroregiunea Unu,60011979,Rupea,Q225257
7958145,Macroregiunea Unu,460363111,Sânmărtinu de Câmpie,Q741191
7958145,Macroregiunea Unu,460376216,Aruncuta,Q775587
7958145,Macroregiunea Unu,460362493,Dobra,Q740621
7958145,Macroregiunea Unu,460375551,Jurca,Q3890632
7958145,Macroregiunea Unu,454157481,Vălanii de Beiuș,Q646501
7958145,Macroregiunea Unu,268468027,Brădești,Q999873
7958145,Macroregiunea Unu,460372099,Bucea,Q714083
7958145,Macroregiunea Unu,460360799,Porumbac,Q924907
7958145,Macroregiunea Unu,422871201,Vidra,Q920013
7958145,Macroregiunea Unu,454156294,Foglaș,Q1002511
7958145,Macroregiunea Unu,460374350,Mărgău,Q727447
7958145,Macroregiunea Unu,454156838,Tărcaia,Q1088264
7958145,Macroregiunea Unu,422868279,Valea Bistrii,Q9196688
7958145,Macroregiunea Unu,463185074,Cristur-Crișeni,Q731524
7958145,Macroregiunea Unu,460372409,Filea de Jos,Q664333
7958145,Macroregiunea Unu,9126490036,,Q388592
7958145,Macroregiunea Unu,454122776,Dârlos,Q902160
9883785,C.A. Rosetti,297193757,Letea,Q3831048
10534625,Mircea Vodă,460063101,Dedulești,Q12099815
13144655,Bârla,422879993,Mândra,Q12123416
9697785,Sopot,461882571,Pietroaia,Q12137218
10748281,Ungheni,460363955,Recea,Q1246568
9714843,Strehaia,262322095,Ciochiuța,Q12170426
11349491,Rădești,422870102,Șoimuș,Q740295
10367676,Brașov,534110598,Bartolomeu,Q30624733
9883790,Murighiol,281383240,Dunavățu de Jos,Q12133728
13137691,Suseni,422881327,Chirițești,Q12116661
12577843,Râciu,460363085,Leniș,Q1128958
9714843,Strehaia,460204792,Hurducești,Q12168028
9695131,Dobrotești,461612279,Nisipuri,Q12134753
10631069,Zlatna,422868464,Valea Mică,Q10862260
9714871,Pristol,460206483,Cozia,Q12111486
